date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
2014-06-04,685000.0,4,2.5,2770,45514.0,2.0,0,0.0,4,2770,0,1989.0,0,18630 NE 202nd St,Woodinville,WA 98077,USA
2014-05-27,857000.0,4,3.0,3720,29043.0,2.0,0,0.0,3,3720,0,1991.0,0,10161 134th Pl NE,Kirkland,WA 98033,USA
2014-06-23,675000.0,4,2.5,2810,11120.0,2.0,0,0.0,3,2810,0,1982.0,0,22120 NE 26th Pl,Sammamish,WA 98074,USA
2014-06-12,1485000.0,4,3.75,4030,10800.0,2.0,0,0.0,3,4030,0,2006.0,0,619 9th Ave,Kirkland,WA 98033,USA
2014-05-06,561000.0,3,2.0,2000,7000.0,2.0,0,0.0,3,2000,0,1916.0,1986,6422 Marshall Ave SW,Seattle,WA 98136,USA
2014-06-15,506000.0,5,3.0,2430,8000.0,1.0,0,0.0,4,1370,1060,1957.0,2001,16437 SE 8th St,Bellevue,WA 98008,USA
2014-07-08,439000.0,4,2.25,2570,9503.0,2.0,0,0.0,3,2570,0,1980.0,0,18719 129th Ct NE,Bothell,WA 98011,USA
2014-06-18,475000.0,3,1.75,1700,8432.0,1.0,0,0.0,3,1230,470,1977.0,2004,1027B NE 130th St,Seattle,WA 98125,USA
2014-06-27,516500.0,1,1.25,1100,638.0,3.0,0,0.0,3,1100,0,2014.0,0,416 19th Ave E,Seattle,WA 98112,USA
2014-05-14,337500.0,5,2.0,1700,7314.0,1.0,0,0.0,3,1000,700,1956.0,2001,6000-6048 22nd Ave S,Seattle,WA 98108,USA
2014-06-05,372500.0,3,1.5,1180,12324.0,1.0,0,0.0,3,800,380,1981.0,2013,2522 230th Ave NE,Sammamish,WA 98074,USA
2014-05-28,968000.0,6,2.75,3610,17580.0,1.0,0,4.0,5,2070,1540,1959.0,0,20303 SE 40th St,Sammamish,WA 98075,USA
2014-06-30,461000.0,3,1.75,3600,8666.0,2.0,0,0.0,4,2400,1200,1948.0,0,13017 NE 100th St,Kirkland,WA 98033,USA
